__label__1	用户 告知 送错 了 两个 餐品   联系 商家   商家 态度 也 不好   要求 退款 （ 他 送 的 粥 下 了 葱 不能 吃 ， 猪肚 汤 他 换 酸菜汤 ， 益母草 换成 西洋 菜 。 我 让 他 拿走 他 不 拿走 ， 说 让 我 投诉
__label__2	用户 催单 ， 还 没有 收到 ， 联系 商家 联系 不到
__label__2	用户 催单 ， 安抚 催促 ， 用户 表示 不用 了 ， 收到 了
__label__135	商家 送餐 没有 给配 米饭   然后 骑手 送餐 不 送到 家 ， 让 自己 去取 ， 安抚 5 元 充值卡 ， 用户 表示 不 需要 了 ， 安抚 致歉 ， 认可 。
__label__135	下单 两笔 ， 商家 营业 却 都 不 接单 ， 安抚 赔付 5 元 充值卡 ， 用户 不 认可 。 表示 只想 举报 他 ， 坚决 投诉   并且 要 看到 我 投诉 的 结果
__label__1	用户 反馈 超时 未收 餐 ， 要求 退款 ， 加急 辛苦
__label__2	送餐 超时 还 提前 确认 收货 根据 地图 显示 他 先 送 的 远 的 投诉 骑手 ， 安抚 用户 认可
__label__136	告知 相关 活动 内容
__label__2	用户 在线 咨询 请问 我 的 订单 开始 派送 了 吗 ， 告知 取餐 配送 中 ， 安抚 耐心 等待 收餐 ， 用户 无 回应
__label__1	少送 油条 补偿 2 元 充值卡
__label__132	没有 送 筷子 ， 安抚 10 元 充值卡 ， 不 认可 ， 要求 补送 ， 安抚 30 分内 回复 ， 用户 表示 不用 了 。   有 那么 长时间 。 我 在 订 一个 吧
__label__136	咨询 是否 下单 成功 ， 安抚 告知
__label__134	咨询 如何 赔付
__label__131	nan
__label__132	牛井 的 收到 是 是 盖饭 ， 安抚 赔付 20 元 充值卡 ， 认可
__label__132	少送 鱼蛋   要求 退款
__label__132	商品 少送 ， 现在 还 没 给 我 处理 ， 少 一瓶 水 和 一个 皮蛋 ， 用户 要求 退款 ， 要求 转告 商家 注意 下次 不要 少 东西 ， 用户 反馈 在 该 商家 点餐 经常 少 东西 ， 回复 袁 ( 先生 )  
__label__132	商品 少送 ， 现在 还 没 给 我 处理 ， 安抚 核实 询问 未 回应 断开
__label__132	菜品 补 新鲜 ， 安抚 10 元 充值卡 认可
__label__132	用户 反馈 订单 超时 送达 ， 还是 冷 的 ， 然后 发现 荷包蛋 都 是 坏 的 ， 荷包蛋 发现 味道 不 对 ， 翻过来 一看 黑 的 ， 安抚 反馈 ， 图片 在 附件 里
__label__132	鸡排 烤肉 双拼 没有 鸡排   赔付 8 元   认可
__label__2	超出 预计 送餐 时间 ， 联系 骑手 他 说 先 去 送 另外 一单   ， 客户 不 认可 ， 诉求 ： 催促 配送
__label__1	配送 延迟   已经 申请 退款   投诉 商家   安抚 认可
__label__131	恢复 支付宝
__label__136	用户 要求 追加 备注 安抚 直接 联系 商家
__label__134	用户 反馈 没有 红包 分享 了 啊 ， 告知 用户 认可
__label__136	用户 未说明 问题 ， 只 核实 到 订单 ， 用户 无 回应
__label__132	餐有 头发 ， 照片 发送 异物 群
__label__132	用户 投诉 商家 ， 手 抓 饼 买 到 的 是 生 的   而且 根本 没 鸡蛋   豆腐脑 是 半份 还是 甜 的   联系 商家   商家 态度 差 还 骂人 ， 用户 要求 退款   东西 拿走 ， 餐品 图片 发 至 异物 群 ， 用户 来电 表示 吃 了 拉肚子 ， 商家 的 地址 是 不 正确 的 ， 营业执照 上 的 地址 是 错误 的 ， 药监局 的 又 去 看 了 ， 没 找到 商家 ， 要求 协助 找到 商家 和 商家 的 联系方式 ，
__label__1	用户 反馈 商家 不能 按时 送到 ， 已 和 商家 沟通 好 了 退款 ， 要求 处理
__label__135	投诉 骑手 撒餐   ， 等 一个半 小时 结果 菜 洒 了 ， 安抚 记录 投诉 问题 认可
__label__2	催餐 ， 要求 尽快 配送 。
__label__132	投诉 商家 弄错 菜品
__label__136	询问 餐品 是否 有 餐具   建议 可以 联系 商家 询问 下
__label__136	修改 菜品   建议 联系 商家   用户 离开
__label__1	用户 没有 收餐 ， 已经 联系 过 商家 ， 沟通 退款 ， 我 跟 同事 点重 了 ， 点 了 两份 ， 所以 我 这边 就 什么 退款 了
__label__1	要求 退款   商户 同意   退款   要求 处理
__label__132	没送 餐具 安抚 5 元 认可
__label__135	至今 没 到   但是 点击 到达   准时 保 赔付 不 准确   辛苦 核实 跟进
__label__2	为什么 打电话 商家 不接 ， 打电话 给 商家 不接 ， 我怕 他们 找 不到 地方   ， 他们 派送 为什么 是 一个 小时 ， 我怕 一个 小时 也 送 不来 ， 安抚 告知 耐心 等待 收餐 ， 用户 无 回应
__label__1	用户 要求 退款 ， 表示 餐品 错 送 ， （ 我要 的 煎蛋 ， 送来 了 煮蛋 ， 我要 了 两份 酱肉 包 ， 送来 了 一份 ） 回复   张女士
__label__132	吃 出 虫子 商家 说 让 我 申请 退款 , 建议 用户 自行 申请 退款 ， 认可
__label__1	我 没收 到 外卖 们 店家 说 我 要 的 外卖 他们 做不了   要求 退款
__label__132	吃 出 虫子 商家 说 让 我 申请 退款 , 建议 用户 自行 申请 退款 ， 认可
__label__132	吃 出 虫子 商家 说 让 我 申请 退款 ,   图片 已 上传
__label__2	用户 催促
__label__131	恢复 支付宝
__label__135	反馈 商家 骑手 严重 嘲笑 不 尊重 行为 （ 本来 给 女朋友 点个 外卖 心情 挺 好 ， 商家 和 骑手 不管三七二十一 ， 上来 就 打电话 ， 电话 中 又 是 嘲笑 ， 又 是 把 祝语 高声 念 出来 的   安抚 不 认可   要求 处理
__label__2	配送 超时   催单   要求 换 骑手
__label__2	超时 未 送达 ， 催促 配送 ， 表示 商家 配送 ， 查看 不到 进度 ， 30 分钟 内 回复
__label__132	少送 可乐 补偿 5 元
__label__1	配送 超时 ， 要求 尽快 配送
__label__1	配送 超时 ， 投诉 商家 ， 要求 退款 。
__label__1	投诉 商家 ， 货品 没有 ， 用户 不 同意 换餐 ， 商家 就 随便 退款 ， 要求 处罚 商家 必须 给出 解释 ， 回复 王 ( 女士 )   ，
__label__1	我点 的 贡茶 ， 奶茶 里面 有冰 的 ， 一个多 小时 才 送过来 ， 我点 的 比较 远 的 那个 虾饭 早就 送过来 了 。 我 问送 餐员 怎么 那么 慢 。 人家 说 送 别的 去 了 。 结果 奶茶 冰全化 了 ， 一点 甜味 没有 ， 没法 喝   ， 安抚 客户 不 认可 。   诉求 ： 我 要求 退款
__label__135	用户 在线 反馈 菜 没 送到 ， 配送 员 可以 自己 确认 收货 订单 ？ 预计 20 点 27 送到 ， 送来 都 20 点 47 了 ， 关键 从 20 点 20 左右 ， 订单 就 被 确认 收货 了 ， 致歉 安抚 记录 反馈 ， 安抚 10 元 充值卡 ， 认可
__label__2	都 超 了 半小时 了 还 没 送到 打电话 也 没人接 ， 催餐 。
__label__2	至今 没 到   要求 催单
__label__136	订单 超时 了 ， 另外 肉饼 吃 着 像 生面 ， 赔付 5 元 充值卡 。 核实 聊天记录 显示 ， 核实 相关 同事 已经 充值 。
__label__136	用户 索要 之前 反馈 该 订单 问题 承诺 的 5 元 赔付 未到 账 ， 核实 对话 截图 ， 重新 充值 ， 认可 。
__label__2	用户 要求 退款
__label__1	用户 反馈 配送 延时 ， 而且 商家 显示 已 打烊 ， 要求 退款
__label__1	我 刚刚 明明 已经 和 商家 联系 取消 外卖 订单   他 也 同意 了   现在 却 又 拒绝   我 已经 不 在 那个 地点 了   走 了 ， 要求 退款 ， 商家 同意 ， 但是 拒绝 了 退款
__label__135	用户 在线 反馈 我要 投诉 ， 我 得 饭 在 定 的 时候 还 没 打烊 ， 现在 打烊 了 ， 商家 联系 不到 ， 还 关机 ， 我 也 不敢 买 别的 ， 也 不 知道 他 送 不 送 了 ， 我要 投诉 他 和 催单
__label__135	投诉 商家   很多 商家 收费 不合理 和 乱收费 现象 ， 餐盒 多收 了 ， 沟通 中 商家 已经 沟通 处理 ， 设置 有 问题 ， 已经 退款 了 餐盒
__label__1	时间 太 长 。 等 不了   个人 原因 要求 退款
__label__2	超时 催促   用户 断开
